"CTDEEPLablD","STA_SEQ","Stream","DATE_COL","Family","finalID"
"RBV-2023-008",14396,"Pine Brook","10/18/2023","Chloroperlidae","Sweltsa"
"RBV-2023-008",14396,"Pine Brook","10/18/2023","Glossosomatidae","Glossosoma"
"RBV-2023-008",14396,"Pine Brook","10/18/2023","Capniidae","Capniidae"
"RBV-2023-008",14396,"Pine Brook","10/18/2023","Perlidae","Acroneuria abnormis"
"RBV-2023-035",14435,"Salmon Brook","9/2/2023","Brachycentridae","Brachycentrus numerosus"
"RBV-2023-035",14435,"Salmon Brook","9/2/2023","Perlidae","Acroneuria abnormis"
"RBV-2023-035",14435,"Salmon Brook","9/2/2023","Glossosomatidae","Glossosoma"
"RBV-2023-035",14435,"Salmon Brook","9/2/2023","Isonychiidae","Isonychia"
"RBV-2023-040",14608,"Bradley Brook","10/14/2023","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2023-040",14608,"Bradley Brook","10/14/2023","Perlodidae","Isoperla"
"RBV-2023-036",14842,"Indian Meadow Brook","10/16/2023","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2023-036",14842,"Indian Meadow Brook","10/16/2023","Chloroperlidae","Sweltsa"
"RBV-2023-036",14842,"Indian Meadow Brook","10/16/2023","Isonychiidae","Isonychia"
"RBV-2023-036",14842,"Indian Meadow Brook","10/16/2023","Glossosomatidae","Glossosoma"
"RBV-2023-036",14842,"Indian Meadow Brook","10/16/2023","Perlidae","Acroneuria"
"RBV-2023-036",14842,"Indian Meadow Brook","10/16/2023","Heptageniidae","Epeorus"
"RBV-2023-036",14842,"Indian Meadow Brook","10/16/2023","Peltoperlidae","Tallaperla"
"RBV-2023-036",14842,"Indian Meadow Brook","10/16/2023","Taeniopterygidae","Taeniopteryx"
"RBV-2023-029",15313,"Harris Brook","4/28/2023","Isonychiidae","Isonychia"
"RBV-2023-029",15313,"Harris Brook","4/28/2023","Perlidae","Acroneuria abnormis"
"RBV-2023-029",15313,"Harris Brook","4/28/2023","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2023-029",15313,"Harris Brook","4/28/2023","Glossosomatidae","Agapetus"
"RBV-2023-026",15314,"NNT to Eightmile at Pleasant Valley Preserve","5/5/2023","Rhyacophilidae","Rhyacophila"
"RBV-2023-026",15314,"NNT to Eightmile at Pleasant Valley Preserve","5/5/2023","Perlodidae","Isoperla"
"RBV-2023-019",15314,"NNT to Eightmile at Pleasant Valley Preserve","10/27/2023","Peltoperlidae","Tallaperla"
"RBV-2023-019",15314,"NNT to Eightmile at Pleasant Valley Preserve","10/27/2023","Perlidae","Perlidae"
"RBV-2023-021",15501,"Cedar Brook","10/27/2023","Capniidae","Capniidae"
"RBV-2023-021",15501,"Cedar Brook","10/27/2023","Perlidae","Acroneuria abnormis"
"RBV-2023-048",15594,"Barrow's Brook","10/28/2023","Brachycentridae","Adicrophleps hitchcocki"
"RBV-2023-048",15594,"Barrow's Brook","10/28/2023","Peltoperlidae","Tallaperla"
"RBV-2023-048",15594,"Barrow's Brook","10/28/2023","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2023-043",15680,"Beaver Brook","9/20/2023","Chloroperlidae","Sweltsa"
"RBV-2023-043",15680,"Beaver Brook","9/20/2023","Peltoperlidae","Tallaperla"
"RBV-2023-043",15680,"Beaver Brook","9/20/2023","Perlidae","Acroneuria"
"RBV-2023-043",15680,"Beaver Brook","9/20/2023","Pteronarcyidae","Pteronarcys biloba"
"RBV-2023-043",15680,"Beaver Brook","9/20/2023","Glossosomatidae","Glossosoma"
"RBV-2023-003",16121,"Flat Brook","9/16/2023","Chloroperlidae","Sweltsa"
"RBV-2023-003",16121,"Flat Brook","9/16/2023","Brachycentridae","Brachycentrus appalachia"
"RBV-2023-003",16121,"Flat Brook","9/16/2023","Isonychiidae","Isonychia"
"RBV-2023-003",16121,"Flat Brook","9/16/2023","Perlidae","Acroneuria abnormis"
"RBV-2023-044",16379,"Barbour Brook","10/8/2023","Perlidae","Acroneuria"
"RBV-2023-042",16861,"Moosehorn Brook","10/31/2023","Perlidae","Acroneuria"
"RBV-2023-042",16861,"Moosehorn Brook","10/31/2023","Rhyacophilidae","Rhyacophila acutiloba"
"RBV-2023-042",16861,"Moosehorn Brook","10/31/2023","Pteronarcyidae","Pteronarcys"
"RBV-2023-047",16995,"Railroad Brook","10/28/2023","Glossosomatidae","Glossosoma"
"RBV-2023-047",16995,"Railroad Brook","10/28/2023","Perlidae","Acroneuria abnormis"
"RBV-2023-047",16995,"Railroad Brook","10/28/2023","Capniidae","Capniidae"
"RBV-2023-047",16995,"Railroad Brook","10/28/2023","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2023-002",16999,"Raymond Brook","10/29/2023","Taeniopterygidae","Taeniopteryx"
"RBV-2023-002",16999,"Raymond Brook","10/29/2023","Perlidae","Paragnetina media"
"RBV-2023-002",16999,"Raymond Brook","10/29/2023","Brachycentridae","Micrasema"
"RBV-2023-002",16999,"Raymond Brook","10/29/2023","Glossosomatidae","Glossosoma"
"RBV-2023-002",16999,"Raymond Brook","10/29/2023","Isonychiidae","Isonychia"
"RBV-2023-004",17022,"Salmon River","9/9/2023","Heptageniidae","Epeorus"
"RBV-2023-004",17022,"Salmon River","9/9/2023","Isonychiidae","Isonychia"
"RBV-2023-004",17022,"Salmon River","9/9/2023","Glossosomatidae","Glossosoma"
"RBV-2023-004",17022,"Salmon River","9/9/2023","Perlidae","Acroneuria abnormis"
"RBV-2023-053",17322,"Fourmile River","10/24/2023","Brachycentridae","Brachycentrus numerosus"
"RBV-2023-053",17322,"Fourmile River","10/24/2023","Perlidae","Acroneuria"
"RBV-2023-059",17333,"Wood Creek","9/16/2023","Perlodidae","Perlodidae"
"RBV-2023-059",17333,"Wood Creek","9/16/2023","Chloroperlidae","Sweltsa"
"RBV-2023-059",17333,"Wood Creek","9/16/2023","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2023-059",17333,"Wood Creek","9/16/2023","Heptageniidae","Epeorus"
"RBV-2023-059",17333,"Wood Creek","9/16/2023","Perlidae","Acroneuria"
"RBV-2023-059",17333,"Wood Creek","9/16/2023","Pteronarcyidae","Pteronarcys biloba"
"RBV-2023-059",17333,"Wood Creek","9/16/2023","Peltoperlidae","Tallaperla"
"RBV-2023-059",17333,"Wood Creek","9/16/2023","Isonychiidae","Isonychia"
"RBV-2023-014",17650,"Peake Brook","10/26/2023","Glossosomatidae","Glossosoma"
"RBV-2023-014",17650,"Peake Brook","10/26/2023","Brachycentridae","Brachycentrus numerosus"
"RBV-2023-014",17650,"Peake Brook","10/26/2023","Perlidae","Eccoptura xanthenes"
"RBV-2023-014",17650,"Peake Brook","10/26/2023","Peltoperlidae","Tallaperla"
"RBV-2023-014",17650,"Peake Brook","10/26/2023","Rhyacophilidae","Rhyacophila"
"RBV-2023-014",17650,"Peake Brook","10/26/2023","Apataniidae","Apatania"
"RBV-2023-014",17650,"Peake Brook","10/26/2023","Capniidae","Capniidae"
"RBV-2023-009",17731,"Peckham Brook","10/16/2023","Capniidae","Paracapnia"
"RBV-2023-009",17731,"Peckham Brook","10/16/2023","Perlidae","Eccoptura xanthenes"
"RBV-2023-009",17731,"Peckham Brook","10/16/2023","Peltoperlidae","Tallaperla"
"RBV-2023-009",17731,"Peckham Brook","10/16/2023","Glossosomatidae","Glossosoma"
"RBV-2023-009",17731,"Peckham Brook","10/16/2023","Rhyacophilidae","Rhyacophila carolina"
"RBV-2023-012",17867,"English Neighborhood Brook","11/12/2023","Isonychiidae","Isonychia"
"RBV-2023-012",17867,"English Neighborhood Brook","11/12/2023","Taeniopterygidae","Taeniopteryx"
"RBV-2023-012",17867,"English Neighborhood Brook","11/12/2023","Glossosomatidae","Glossosomatidae"
"RBV-2023-012",17867,"English Neighborhood Brook","11/12/2023","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2023-012",17867,"English Neighborhood Brook","11/12/2023","Peltoperlidae","Tallaperla"
"RBV-2023-012",17867,"English Neighborhood Brook","11/12/2023","Apataniidae","Apatania"
"RBV-2023-012",17867,"English Neighborhood Brook","11/12/2023","Capniidae","Capniidae"
"RBV-2023-024",17992,"Big Brook","9/6/2023","Rhyacophilidae","Rhyacophila"
"RBV-2023-024",17992,"Big Brook","9/6/2023","Perlidae","Acroneuria abnormis"
"RBV-2023-001",18409,"Fawn Brook","10/17/2023","Glossosomatidae","Glossosoma"
"RBV-2023-001",18409,"Fawn Brook","10/17/2023","Isonychiidae","Isonychia"
"RBV-2023-001",18409,"Fawn Brook","10/17/2023","Perlidae","Acroneuria abnormis"
"RBV-2023-001",18409,"Fawn Brook","10/17/2023","Chloroperlidae","Chloroperlidae"
"RBV-2023-054",18413,"Latimer Brook","10/24/2023","Brachycentridae","Brachycentrus numerosus"
"RBV-2023-054",18413,"Latimer Brook","10/24/2023","Perlidae","Acroneuria"
"RBV-2023-051",18495,"Latimer Brook","10/24/2023","Glossosomatidae","Glossosoma"
"RBV-2023-051",18495,"Latimer Brook","10/24/2023","Brachycentridae","Brachycentrus numerosus"
"RBV-2023-051",18495,"Latimer Brook","10/24/2023","Perlidae","Acroneuria"
"RBV-2023-025",18694,"Muddy Brook","5/5/2023","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2023-025",18694,"Muddy Brook","5/5/2023","Peltoperlidae","Tallaperla"
"RBV-2023-025",18694,"Muddy Brook","5/5/2023","Heptageniidae","Epeorus"
"RBV-2023-025",18694,"Muddy Brook","5/5/2023","Perlidae","Acroneuria abnormis"
"RBV-2023-005",18871,"Moodus River","11/12/2023","Perlidae","Acroneuria abnormis"
"RBV-2023-005",18871,"Moodus River","11/12/2023","Taeniopterygidae","Taeniopteryx"
"RBV-2023-005",18871,"Moodus River","11/12/2023","Capniidae","Capniidae"
"RBV-2023-005",18871,"Moodus River","11/12/2023","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2023-045",18922,"NNT to Shepaug River","9/25/2023","Glossosomatidae","Glossosoma"
"RBV-2023-045",18922,"NNT to Shepaug River","9/25/2023","Peltoperlidae","Tallaperla"
"RBV-2023-032",18961,"Fraser Brook","4/28/2023","Perlidae","Acroneuria abnormis"
"RBV-2023-032",18961,"Fraser Brook","4/28/2023","Heptageniidae","Epeorus"
"RBV-2023-032",18961,"Fraser Brook","4/28/2023","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2023-032",18961,"Fraser Brook","4/28/2023","Chloroperlidae","Sweltsa"
"RBV-2023-056",18993,"East Meadow Brook","9/16/2023","Isonychiidae","Isonychia"
"RBV-2023-056",18993,"East Meadow Brook","9/16/2023","Glossosomatidae","Glossosomatidae"
"RBV-2023-056",18993,"East Meadow Brook","9/16/2023","Perlidae","Acroneuria"
"RBV-2023-034",19214,"Harris Brook","4/28/2023","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2023-034",19214,"Harris Brook","4/28/2023","Ephemerellidae","Drunella"
"RBV-2023-022",19214,"Harris Brook","10/27/2023","Peltoperlidae","Tallaperla"
"RBV-2023-034",19214,"Harris Brook","4/28/2023","Perlidae","Acroneuria abnormis"
"RBV-2023-022",19214,"Harris Brook","10/27/2023","Perlidae","Paragnetina media"
"RBV-2023-034",19214,"Harris Brook","4/28/2023","Brachycentridae","Micrasema"
"RBV-2023-034",19214,"Harris Brook","4/28/2023","Isonychiidae","Isonychia"
"RBV-2023-034",19214,"Harris Brook","4/28/2023","Glossosomatidae","Agapetus"
"RBV-2023-022",19214,"Harris Brook","10/27/2023","Isonychiidae","Isonychia"
"RBV-2023-023",19215,"Ransom Brook","4/28/2023","Perlodidae","Isoperla"
"RBV-2023-027",19215,"Ransom Brook","10/27/2023","Perlidae","Paragnetina media"
"RBV-2023-027",19215,"Ransom Brook","10/27/2023","Brachycentridae","Brachycentrus numerosus"
"RBV-2023-027",19215,"Ransom Brook","10/27/2023","Peltoperlidae","Tallaperla"
"RBV-2023-023",19215,"Ransom Brook","4/28/2023","Perlidae","Paragnetina media"
"RBV-2023-023",19215,"Ransom Brook","4/28/2023","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2023-006",19455,"Blackledge River","10/17/2023","Isonychiidae","Isonychia"
"RBV-2023-006",19455,"Blackledge River","10/17/2023","Perlidae","Acroneuria abnormis"
"RBV-2023-006",19455,"Blackledge River","10/17/2023","Glossosomatidae","Glossosoma"
"RBV-2023-033",20126,"Hedge Brook","5/5/2023","Rhyacophilidae","Rhyacophila carolina"
"RBV-2023-033",20126,"Hedge Brook","5/5/2023","Perlodidae","Isoperla"
"RBV-2023-028",20126,"Hedge Brook","11/3/2023","Peltoperlidae","Tallaperla"
"RBV-2023-028",20126,"Hedge Brook","11/3/2023","Perlidae","Eccoptura xanthenes"
"RBV-2023-033",20126,"Hedge Brook","5/5/2023","Nemouridae","Amphinemura"
"RBV-2023-058",20154,"Reichenbach Brook","9/16/2023","Rhyacophilidae","Rhyacophila"
"RBV-2023-058",20154,"Reichenbach Brook","9/16/2023","Glossosomatidae","Glossosomatidae"
"RBV-2023-058",20154,"Reichenbach Brook","9/16/2023","Perlidae","Acroneuria"
"RBV-2023-049",20371,"Rickenback Brook","10/28/2023","Perlidae","Eccoptura xanthenes"
"RBV-2023-007",20373,"Bigelow Brook","9/9/2023","Chloroperlidae","Sweltsa"
"RBV-2023-007",20373,"Bigelow Brook","9/9/2023","Perlidae","Eccoptura xanthenes"
"RBV-2023-007",20373,"Bigelow Brook","9/9/2023","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2023-007",20373,"Bigelow Brook","9/9/2023","Peltoperlidae","Tallaperla"
"RBV-2023-052",20375,"Cranberry Meadow Brook","10/31/2023","Perlidae","Perlidae"
"RBV-2023-052",20375,"Cranberry Meadow Brook","10/31/2023","Peltoperlidae","Tallaperla"
"RBV-2023-052",20375,"Cranberry Meadow Brook","10/31/2023","Leuctridae","Leuctra"
"RBV-2023-057",20486,"Carmel Hill Brook","9/17/2023","Peltoperlidae","Tallaperla"
"RBV-2023-057",20486,"Carmel Hill Brook","9/17/2023","Perlidae","Eccoptura xanthenes"
"RBV-2023-057",20486,"Carmel Hill Brook","9/17/2023","Rhyacophilidae","Rhyacophila carolina"
"RBV-2023-057",20486,"Carmel Hill Brook","9/17/2023","Isonychiidae","Isonychia"
"RBV-2023-030",20492,"Burnham Brook","5/5/2023","Perlodidae","Isoperla"
"RBV-2023-030",20492,"Burnham Brook","5/5/2023","Rhyacophilidae","Rhyacophila carolina"
"RBV-2023-037",20666,"NNT to Bunnell Brook","10/4/2023","Perlidae","Perlidae"
"RBV-2023-037",20666,"NNT to Bunnell Brook","10/4/2023","Leuctridae","Leuctra"
"RBV-2023-037",20666,"NNT to Bunnell Brook","10/4/2023","Chloroperlidae","Sweltsa"
"RBV-2023-037",20666,"NNT to Bunnell Brook","10/4/2023","Rhyacophilidae","Rhyacophila"
"RBV-2023-037",20666,"NNT to Bunnell Brook","10/4/2023","Peltoperlidae","Tallaperla"
"RBV-2023-010",20876,"Little Dam Tavern Brook","11/16/2023","Apataniidae","Apatania"
"RBV-2023-010",20876,"Little Dam Tavern Brook","11/16/2023","Brachycentridae","Micrasema"
"RBV-2023-010",20876,"Little Dam Tavern Brook","11/16/2023","Perlidae","Eccoptura xanthenes"
"RBV-2023-010",20876,"Little Dam Tavern Brook","11/16/2023","Taeniopterygidae","Taeniopteryx"
"RBV-2023-011",20877,"Conantville Brook","11/15/2023","Taeniopterygidae","Taeniopteryx"
"RBV-2023-011",20877,"Conantville Brook","11/15/2023","Glossosomatidae","Glossosoma"
"RBV-2023-011",20877,"Conantville Brook","11/15/2023","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2023-011",20877,"Conantville Brook","11/15/2023","Capniidae","Capniidae"
"RBV-2023-015",20879,"Scranton Brook","11/30/2023","Perlidae","Eccoptura xanthenes"
"RBV-2023-015",20879,"Scranton Brook","11/30/2023","Peltoperlidae","Tallaperla"
"RBV-2023-015",20879,"Scranton Brook","11/30/2023","Leuctridae","Leuctridae"
"RBV-2023-015",20879,"Scranton Brook","11/30/2023","Lepidostomatidae","Lepidostoma"
"RBV-2023-015",20879,"Scranton Brook","11/30/2023","Nemouridae","Nemouridae"
"RBV-2023-015",20879,"Scranton Brook","11/30/2023","Taeniopterygidae","Taeniopterygidae"
"RBV-2023-015",20879,"Scranton Brook","11/30/2023","Chloroperlidae","Sweltsa"
"RBV-2023-015",20879,"Scranton Brook","11/30/2023","Rhyacophilidae","Rhyacophila carolina"
"RBV-2023-015",20879,"Scranton Brook","11/30/2023","Glossosomatidae","Glossosomatidae"
"RBV-2023-016",20880,"Safford Brook","11/17/2023","Taeniopterygidae","Taeniopteryx"
"RBV-2023-016",20880,"Safford Brook","11/17/2023","Glossosomatidae","Glossosoma"
"RBV-2023-016",20880,"Safford Brook","11/17/2023","Perlidae","Eccoptura xanthenes"
"RBV-2023-016",20880,"Safford Brook","11/17/2023","Apataniidae","Apatania"
"RBV-2023-016",20880,"Safford Brook","11/17/2023","Lepidostomatidae","Lepidostoma"
"RBV-2023-016",20880,"Safford Brook","11/17/2023","Heptageniidae","Epeorus"
"RBV-2023-016",20880,"Safford Brook","11/17/2023","Perlodidae","Perlodidae"
"RBV-2023-016",20880,"Safford Brook","11/17/2023","Chloroperlidae","Sweltsa"
"RBV-2023-016",20880,"Safford Brook","11/17/2023","Capniidae","Capniidae"
"RBV-2023-016",20880,"Safford Brook","11/17/2023","Peltoperlidae","Tallaperla"
"RBV-2023-017",20881,"Elbow Brook","10/1/2023","Perlidae","Acroneuria"
"RBV-2023-017",20881,"Elbow Brook","10/1/2023","Peltoperlidae","Tallaperla"
"RBV-2023-017",20881,"Elbow Brook","10/1/2023","Rhyacophilidae","Rhyacophila"
"RBV-2023-017",20881,"Elbow Brook","10/1/2023","Apataniidae","Apatania"
"RBV-2023-017",20881,"Elbow Brook","10/1/2023","Glossosomatidae","Glossosoma"
"RBV-2023-018",20882,"Burnham Brook","11/3/2023","Perlidae","Perlidae"
"RBV-2023-018",20882,"Burnham Brook","11/3/2023","Peltoperlidae","Tallaperla"
"RBV-2023-018",20882,"Burnham Brook","11/3/2023","Taeniopterygidae","Taeniopteryx"
"RBV-2023-018",20882,"Burnham Brook","11/3/2023","Perlodidae","Perlodidae"
"RBV-2023-020",20883,"Harris Brook","11/3/2023","Perlidae","Paragnetina media"
"RBV-2023-020",20883,"Harris Brook","11/3/2023","Capniidae","Capniidae"
"RBV-2023-020",20883,"Harris Brook","11/3/2023","Glossosomatidae","Glossosoma"
"RBV-2023-020",20883,"Harris Brook","11/3/2023","Isonychiidae","Isonychia"
"RBV-2023-031",20884,"Fraser Brook","11/3/2023","Perlidae","Acroneuria abnormis"
"RBV-2023-031",20884,"Fraser Brook","11/3/2023","Peltoperlidae","Tallaperla"
"RBV-2023-038",20885,"NNT to Farmington River","9/19/2023","Brachycentridae","Adicrophleps hitchcocki"
"RBV-2023-038",20885,"NNT to Farmington River","9/19/2023","Chloroperlidae","Sweltsa"
"RBV-2023-038",20885,"NNT to Farmington River","9/19/2023","Perlodidae","Perlodidae"
"RBV-2023-038",20885,"NNT to Farmington River","9/19/2023","Peltoperlidae","Tallaperla"
"RBV-2023-038",20885,"NNT to Farmington River","9/19/2023","Rhyacophilidae","Rhyacophila"
"RBV-2023-039",20886,"Thompson Brook","10/26/2023","Perlidae","Acroneuria"
"RBV-2023-039",20886,"Thompson Brook","10/26/2023","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2023-041",20887,"Morgan Brook","9/17/2023","Chloroperlidae","Sweltsa"
"RBV-2023-041",20887,"Morgan Brook","9/17/2023","Pteronarcyidae","Pteronarcys biloba"
"RBV-2023-041",20887,"Morgan Brook","9/17/2023","Rhyacophilidae","Rhyacophila"
"RBV-2023-041",20887,"Morgan Brook","9/17/2023","Isonychiidae","Isonychia"
"RBV-2023-041",20887,"Morgan Brook","9/17/2023","Perlidae","Paragnetina"
